SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
OI1;Divers;;;item;;;Divers;Divers;0.0000;;;;;SHARED;
MSG1;Warten;;;item;0.0;;Divers;Warten;0.0000;;;;;SHARED;
MSG2;VIP Gast;;;item;0.0;;Divers;VIP Gast;0.0000;;;;;SHARED;
8;Americano;;;combo;3.0;;Coffee;Americano;0.4300;;;;;LOCAL;default/
9;Irish coffee;;;combo;6.0;;Coffee;Irish coffee;;;;;;LOCAL;default/
10;Hot Toddy 4cl Jameson;;;item;6.5;;Coffee;Hot Toddy 4cl Jameson;0.9760;;;;;LOCAL;default/
11;Double Espresso;;;item;2.5;;Coffee;Double Espresso;0.3000;;;;;LOCAL;default/
12;Espresso Macchiato;;;combo;3.5;;Coffee;Espresso Macchiato;0.4000;;;;;LOCAL;default/
13;Cappuccino;;;combo;3.5;;Coffee;Cappuccino;0.4000;;;;;LOCAL;default/
14;Latte Macchiato;;;combo;4.0;;Coffee;Latte Macchiato;0.5000;;;;;LOCAL;default/
15;Tea;;;item;3.0;;Coffee;Tea;0.2000;;;;;LOCAL;default/
16;Hot Chocolate;;;combo;3.5;;Coffee;Hot Chocolate;0.4000;;;;;LOCAL;default/
17;Mint Hot Chocolate;;;combo;4.0;;Coffee;Mint Hot Chocolate;0.6000;;;;;LOCAL;default/
18;Chai Latte;;;combo;4.0;;Coffee;Chai Latte;0.2314;;;;;LOCAL;default/
19;Cortado;;;combo;3.0;;Coffee;Cortado;0.4000;;;;;LOCAL;default/
20;pumpkin spice Latte;;;combo;4.5;;Coffee;pumpkin Spice Latte;0.6000;;;;;LOCAL;default/
21;Dirty Chai;;;combo;4.5;;Coffee;Dirty Chai;0.2314;;;;;LOCAL;default/
22;Caramel Macciato;;;combo;4.5;;Coffee;Caramel Macciato;0.6000;;;;;LOCAL;default/
23;Haselnuss Macciato;;;combo;4.5;;Coffee;Haselnuss Macciato;0.1784;;;;;LOCAL;default/
24;Mint Macchiato;;;combo;4.5;;Coffee;Mint Macchiato;0.6000;;;;;LOCAL;default/
25;Baby-Chino;;;combo;1.5;;Coffee;Baby-Chino;0.1000;;;;;LOCAL;default/
27;Cow Milk;;;item;0.0;;Coffee;Cow Milk;0.3390;;;;;LOCAL;default/
28;Ice;;;item;0.5;;Coffee;Ice;;;;;;LOCAL;default/
29;Extra Shot;;;item;2.0;;Coffee;Extra Shot;;;;;;LOCAL;default/
30;Pils 0,3L;;;item;3.0;;Tap Beers;Pils 0,3L;0.2735;0.30000;VOLUME;;;LOCAL;default/
31;Radler 0,3L;;;item;3.5;;Tap Beers;Radler 0,3L;0.3227;;;;;LOCAL;default/
32;Guinness 0,3L;;;item;5.5;;Tap Beers;Guinness 0,3L;0.9847;;;;;LOCAL;default/
33;Stowford Cider 0,3L;;;item;5.5;;Tap Beers;Stowford Cider 0,3L;0.9996;;;;;LOCAL;default/
34;Guinness 0,5L;;;item;7.0;;Tap Beers;Guinness 0,5L;1.6412;;;;;LOCAL;default/
35;Radler 0,5L;;;item;5.0;;Tap Beers;Radler 0,5L;0.5379;;;;;LOCAL;default/
36;Pils 0,5L;;;item;4.5;;Tap Beers;Pils 0,5L;0.4558;0.50000;VOLUME;;;LOCAL;default/
37;Stowford Cider 0,5L;;;item;7.0;;Tap Beers;Stowford Cider 0,5L;1.6660;;;;;LOCAL;default/
38;Weihnstephan Hefe 0,5L;;;item;5.0;;Tap Beers;Weihnstephan Hefe 0,5L;1.0217;;;;;LOCAL;default/
46;Tap 8 0,3 Hopscor IPA;;;item;5.0;;Tap Craft Beer 0,3L;Tap 8 0,3 Hopscor IPA;0.9282;;;;;LOCAL;default/
47;Tap 4 0,3l Ritterguts - Gose;;;item;6.3;;Tap Craft Beer 0,3L;Tap 4 0,3l Ritterguts - Gose;1.1700;;;;;LOCAL;default/
48;Tap 5 0,3l FW - Here comes the sun 200425;;;item;8.0;;Tap Craft Beer 0,3L;Tap 5 0,3l FW - Here comes the sun;1.3700;;;;;LOCAL;default/
52;Tap 20 0,3 Hopscor Pale Ale;;;item;4.0;;Tap Craft Beer 0,3L;Tap 20 0,3 Hopscor Pale Ale;0.8925;;;;;LOCAL;default/
60;Tap 8 0,5 Hopscor IPA;;;item;6.5;;Tap Craft Beer 0,5L;Tap 8 0,5 Hopscor IPA;1.5470;;;;;LOCAL;default/
61;Tap 4 0,5l Ritterguts - Gose;;;item;7.8;;Tap Craft Beer 0,5L;Tap 4 0,5l Ritterguts - Gose;1.9500;;;;;LOCAL;default/
62;Tap 5 0,5l FW - Here comes the sun 200425;;;item;9.5;;Tap Craft Beer 0,5L;Tap 5 0,5l FW - Here comes the sun;2.2900;;;;;LOCAL;default/
