SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Menu/Screen;Button name;Button color;Barcode;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Docket name;Course;Statistics group;Production instruction
OI1;Divers;;;item;;;Divers;Menu/Coffee,Order Anywhere/Coffee;Divers;BLUE;;0.0000;;;;;SHARED;;;;
MSG1;Warten;;;item;0.0;;Divers;;Warten;BLUE;;0.0000;;;;;SHARED;;;;
MSG2;VIP Gast;;;item;0.0;;Divers;;VIP Gast;BLUE;;0.0000;;;;;SHARED;;;;
10;Hot Toddy 4cl Jameson;;;item;6.5;;Coffee;Menu/Coffee,Order Anywhere/Coffee;Hot Toddy 4cl Jameson;BLUE;;0.9760;;;;;LOCAL;;;default/;
11;Double Espresso;;;item;2.5;;Coffee;Menu/Coffee,Order Anywhere/Coffee;Double Espresso;BROWN;;0.3000;;;;;LOCAL;;;default/;
15;Tea;;;item;3.0;;Coffee;Menu/Coffee,Order Anywhere/Coffee;Tea;BLUE;;0.2000;;;;;LOCAL;;;default/;
27;Cow Milk;;;item;0.0;;Coffee;;Cow Milk;BLUE;;0.3390;;;;;LOCAL;;;default/;
28;Ice;;;item;0.5;;Coffee;Menu/Coffee,Order Anywhere/Coffee;Ice;BLUE;;;;;;;LOCAL;;;default/;
29;Extra Shot;;;item;2.0;;Coffee;Menu/Coffee,Order Anywhere/Coffee;Extra Shot;BLUE;;;;;;;LOCAL;;;default/;
30;Pils 0,3L;;;item;3.0;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Pils 0,3L;YELLOW;;0.2735;0.30000;VOLUME;;;LOCAL;;;default/;
31;Radler 0,3L;;;item;3.5;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Radler 0,3L;BROWN;;0.3227;;;;;LOCAL;;;default/;
32;Guinness 0,3L;;;item;5.5;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Guinness 0,3L;BLACK;;0.9847;;;;;LOCAL;;;default/;
33;Stowford Cider 0,3L;;;item;5.5;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Stowford Cider 0,3L;BLUE;;0.9996;;;;;LOCAL;;;default/;
34;Guinness 0,5L;;;item;7.0;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Guinness 0,5L;BLACK;;1.6412;;;;;LOCAL;;;default/;
35;Radler 0,5L;;;item;5.0;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Radler 0,5L;BROWN;;0.5379;;;;;LOCAL;;;default/;
36;Pils 0,5L;;;item;4.5;;Tap Beers;Menu/Tap Beers,Order Anywhere/Tap Beers;Pils 0,5L;YELLOW;;0.4558;0.50000;VOLUME;;;LOCAL;;;default/;
